* Ebeam         Eprime        Theta        x              Q2            W2           RC-deut       RC-carbon      RC_C/RC_D     Coulomb Cor.
  10.58900      3.240000      21.00000     0.3305000      4.557500      10.11358     0.9476050     0.9564101      1.009292      1.001600    
  10.58900      3.250000      21.00000     0.3319000      4.571600      10.08071     0.9489122     0.9576796      1.009239      1.001600    
  10.58900      3.260000      21.00000     0.3334000      4.585600      10.04795     0.9502168     0.9589319      1.009172      1.001600    
  10.58900      3.270000      21.00000     0.3349000      4.599700      10.01508     0.9514965     0.9602368      1.009186      1.001600    
  10.58900      3.280000      21.00000     0.3364000      4.613800      9.982214     0.9527940     0.9614884      1.009125      1.001700    
  10.58900      3.290000      21.00000     0.3379000      4.627800      9.949450     0.9540882     0.9627932      1.009124      1.001700    
  10.58900      3.300000      21.00000     0.3394000      4.641900      9.916582     0.9554000     0.9640438      1.009047      1.001700    
  10.58900      3.310000      21.00000     0.3409000      4.656000      9.883718     0.9569229     0.9653482      1.008805      1.001700    
  10.58900      3.320000      21.00000     0.3424000      4.670000      9.850952     0.9582069     0.9665974      1.008756      1.001700    
  10.58900      3.330000      21.00000     0.3439000      4.684100      9.818087     0.9594199     0.9678275      1.008763      1.001700    
  10.58900      3.340000      21.00000     0.3454000      4.698200      9.785221     0.9605846     0.9691122      1.008877      1.001700    
  10.58900      3.350000      21.00000     0.3469000      4.712200      9.752457     0.9618520     0.9703398      1.008824      1.001700    
  10.58900      3.360000      21.00000     0.3484000      4.726300      9.719591     0.9631600     0.9715844      1.008747      1.001700    
  10.58900      3.370000      21.00000     0.3499000      4.740400      9.686726     0.9644393     0.9728463      1.008717      1.001700    
  10.58900      3.380000      21.00000     0.3514000      4.754400      9.653959     0.9656918     0.9740496      1.008655      1.001700    
  10.58900      3.390000      21.00000     0.3530000      4.768500      9.621094     0.9669835     0.9753086      1.008609      1.001800    
  10.58900      3.400000      21.00000     0.3545000      4.782600      9.588228     0.9682929     0.9765472      1.008525      1.001800    
  10.58900      3.410000      21.00000     0.3560000      4.796600      9.555464     0.9695725     0.9777638      1.008448      1.001800    
  10.58900      3.420000      21.00000     0.3576000      4.810700      9.522597     0.9708698     0.9789586      1.008332      1.001800    
  10.58900      3.430000      21.00000     0.3591000      4.824800      9.489732     0.9722323     0.9801707      1.008165      1.001800    
  10.58900      3.440000      21.00000     0.3607000      4.838800      9.456967     0.9735417     0.9814000      1.008072      1.001800    
  10.58900      3.450000      21.00000     0.3622000      4.852900      9.424102     0.9747966     0.9826472      1.008054      1.001800    
  10.58900      3.460000      21.00000     0.3638000      4.867000      9.391236     0.9760924     0.9838313      1.007928      1.001800    
  10.58900      3.470000      21.00000     0.3654000      4.881000      9.358470     0.9774062     0.9850335      1.007804      1.001900    
  10.58900      3.480000      21.00000     0.3669000      4.895100      9.325605     0.9787127     0.9862525      1.007704      1.001900    
  10.58900      3.490000      21.00000     0.3685000      4.909200      9.292740     0.9800121     0.9874483      1.007588      1.001900    
  10.58900      3.500000      21.00000     0.3701000      4.923200      9.259974     0.9813299     0.9886617      1.007471      1.001900    
  10.58900      3.510000      21.00000     0.3717000      4.937300      9.227108     0.9826400     0.9898515      1.007339      1.001900    
  10.58900      3.520000      21.00000     0.3733000      4.951400      9.194244     0.9839939     0.9910161      1.007136      1.001900    
  10.58900      3.530000      21.00000     0.3748000      4.965400      9.161478     0.9853152     0.9921982      1.006986      1.001900    
  10.58900      3.540000      21.00000     0.3764000      4.979500      9.128613     0.9866285     0.9934419      1.006906      1.001900    
  10.58900      3.550000      21.00000     0.3780000      4.993500      9.095846     0.9879343     0.9946609      1.006809      1.002000    
  10.58900      3.560000      21.00000     0.3796000      5.007600      9.062983     0.9892585     0.9958547      1.006668      1.002000    
  10.58900      3.570000      21.00000     0.3813000      5.021700      9.030117     0.9905746     0.9970224      1.006509      1.002000    
  10.58900      3.580000      21.00000     0.3829000      5.035700      8.997351     0.9918826     0.9982533      1.006423      1.002000    
  10.58900      3.590000      21.00000     0.3845000      5.049800      8.964485     0.9932094     0.9994132      1.006246      1.002000    
  10.58900      3.600000      21.00000     0.3861000      5.063900      8.931620     0.9945281      1.000591      1.006097      1.002000    
  10.58900      3.610000      21.00000     0.3877000      5.077900      8.898855     0.9958662      1.001742      1.005901      1.002000    
  10.58900      3.620000      21.00000     0.3894000      5.092000      8.865990     0.9971684      1.002958      1.005806      1.002100    
  10.58900      3.630000      21.00000     0.3910000      5.106100      8.833124     0.9984898      1.004100      1.005619      1.002100    
  10.58900      3.640000      21.00000     0.3926000      5.120100      8.800358     0.9997464      1.005260      1.005515      1.002100    
  10.58900      3.650000      21.00000     0.3943000      5.134200      8.767492      1.001079      1.006392      1.005308      1.002100    
  10.58900      3.660000      21.00000     0.3959000      5.148300      8.734627      1.002431      1.007590      1.005147      1.002100    
  10.58900      3.670000      21.00000     0.3976000      5.162300      8.701862      1.003631      1.008712      1.005062      1.002100    
  10.58900      3.680000      21.00000     0.3993000      5.176400      8.668995      1.004966      1.009900      1.004909      1.002200    
  10.58900      3.690000      21.00000     0.4009000      5.190500      8.636131      1.006263      1.011059      1.004766      1.002200    
  10.58900      3.700000      21.00000     0.4026000      5.204500      8.603365      1.007611      1.012238      1.004593      1.002200    
  10.58900      3.710000      21.00000     0.4043000      5.218600      8.570500      1.008920      1.013438      1.004478      1.002200    
  10.58900      3.720000      21.00000     0.4059000      5.232700      8.537634      1.010189      1.014606      1.004373      1.002200    
  10.58900      3.730000      21.00000     0.4076000      5.246700      8.504869      1.011479      1.015744      1.004217      1.002200    
  10.58900      3.740000      21.00000     0.4093000      5.260800      8.472004      1.012759      1.016902      1.004090      1.002300    
  10.58900      3.750000      21.00000     0.4110000      5.274900      8.439138      1.014060      1.018080      1.003964      1.002300    
  10.58900      3.760000      21.00000     0.4127000      5.288900      8.406373      1.015320      1.019226      1.003847      1.002300    
  10.58900      3.770000      21.00000     0.4144000      5.303000      8.373507      1.016570      1.020392      1.003760      1.002300    
  10.58900      3.780000      21.00000     0.4161000      5.317100      8.340643      1.017840      1.021472      1.003568      1.002300    
  10.58900      3.790000      21.00000     0.4178000      5.331100      8.307877      1.018970      1.022625      1.003587      1.002300    
  10.58900      3.800000      21.00000     0.4196000      5.345200      8.275011      1.020185      1.023744      1.003489      1.002400    
  10.58900      3.810000      21.00000     0.4213000      5.359300      8.242146      1.021452      1.024883      1.003359      1.002400    
  10.58900      3.820000      21.00000     0.4230000      5.373300      8.209381      1.022741      1.026043      1.003228      1.002400    
  10.58900      3.830000      21.00000     0.4248000      5.387400      8.176515      1.023986      1.027224      1.003163      1.002400    
  10.58900      3.840000      21.00000     0.4265000      5.401500      8.143649      1.025252      1.028314      1.002988      1.002400    
  10.58900      3.850000      21.00000     0.4282000      5.415500      8.110884      1.026540      1.029481      1.002866      1.002500    
  10.58900      3.860000      21.00000     0.4300000      5.429600      8.078020      1.027748      1.030613      1.002788      1.002500    
  10.58900      3.870000      21.00000     0.4317000      5.443700      8.045153      1.029011      1.031708      1.002621      1.002500    
  10.58900      3.880000      21.00000     0.4335000      5.457700      8.012388      1.030262      1.032881      1.002543      1.002500    
  10.58900      3.890000      21.00000     0.4353000      5.471800      7.979521      1.031535      1.033958      1.002349      1.002500    
  10.58900      3.900000      21.00000     0.4370000      5.485900      7.946657      1.032795      1.035115      1.002246      1.002500    
  10.58900      3.910000      21.00000     0.4388000      5.499900      7.913891      1.034078      1.036232      1.002083      1.002600    
  10.58900      3.920000      21.00000     0.4406000      5.514000      7.881026      1.035312      1.037372      1.001990      1.002600    
  10.58900      3.930000      21.00000     0.4424000      5.528100      7.848160      1.036605      1.038471      1.001799      1.002600    
  10.58900      3.940000      21.00000     0.4442000      5.542100      7.815395      1.037774      1.039592      1.001751      1.002600    
  10.58900      3.950000      21.00000     0.4460000      5.556200      7.782530      1.039039      1.040671      1.001571      1.002600    
  10.58900      3.960000      21.00000     0.4478000      5.570300      7.749664      1.040290      1.041771      1.001423      1.002700    
  10.58900      3.970000      21.00000     0.4496000      5.584300      7.716898      1.041527      1.042892      1.001310      1.002700    
  10.58900      3.980000      21.00000     0.4514000      5.598400      7.684033      1.042787      1.043971      1.001135      1.002700    
  10.58900      3.990000      21.00000     0.4532000      5.612500      7.651168      1.043994      1.045137      1.001095      1.002700    
  10.58900      4.000000      21.00000     0.4550000      5.626500      7.618402      1.045343      1.046259      1.000877      1.002700    
  10.58900      4.010000      21.00000     0.4569000      5.640600      7.585536      1.046597      1.047270      1.000643      1.002800    
  10.58900      4.020000      21.00000     0.4587000      5.654700      7.552671      1.047876      1.048369      1.000471      1.002800    
  10.58900      4.030000      21.00000     0.4606000      5.668700      7.519906      1.049099      1.049491      1.000374      1.002800    
  10.58900      4.040000      21.00000     0.4624000      5.682800      7.487041      1.050428      1.050634      1.000196      1.002800    
  10.58900      4.050000      21.00000     0.4643000      5.696900      7.454175      1.051660      1.051729      1.000066      1.002800    
  10.58900      4.060000      21.00000     0.4661000      5.710900      7.421410      1.052914      1.052848     0.9999371      1.002900    
  10.58900      4.070000      21.00000     0.4680000      5.725000      7.388544      1.054107      1.053917     0.9998195      1.002900    
  10.58900      4.080000      21.00000     0.4699000      5.739100      7.355679      1.055369      1.055006     0.9996561      1.002900    
  10.58900      4.090000      21.00000     0.4717000      5.753100      7.322913      1.056657      1.056119     0.9994912      1.002900    
  10.58900      4.100000      21.00000     0.4736000      5.767200      7.290049      1.057927      1.057180     0.9992942      1.002900    
  10.58900      4.110000      21.00000     0.4755000      5.781300      7.257182      1.059136      1.058261     0.9991742      1.002900    
  10.58900      4.120000      21.00000     0.4774000      5.795300      7.224418      1.060368      1.059287     0.9989812      1.003000    
  10.58900      4.130000      21.00000     0.4793000      5.809400      7.191551      1.061626      1.060412     0.9988569      1.003000    
  10.58900      4.140000      21.00000     0.4812000      5.823500      7.158687      1.062864      1.061487     0.9987040      1.003000    
  10.58900      4.150000      21.00000     0.4831000      5.837500      7.125920      1.064178      1.062582     0.9985004      1.003000    
  10.58900      4.160000      21.00000     0.4850000      5.851600      7.093056      1.065469      1.063702     0.9983420      1.003100    
  10.58900      4.170000      21.00000     0.4870000      5.865700      7.060190      1.066694      1.064760     0.9981870      1.003100    
  10.58900      4.180000      21.00000     0.4889000      5.879700      7.027425      1.067944      1.065843     0.9980330      1.003100    
  10.58900      4.190000      21.00000     0.4908000      5.893800      6.994559      1.069221      1.066952     0.9978772      1.003100    
  10.58900      4.200000      21.00000     0.4928000      5.907900      6.961694      1.070377      1.067994     0.9977742      1.003100    
  10.58900      4.210000      21.00000     0.4947000      5.921900      6.928928      1.071558      1.068974     0.9975885      1.003200    
  10.58900      4.220000      21.00000     0.4967000      5.936000      6.896063      1.072763      1.070061     0.9974809      1.003200    
  10.58900      4.230000      21.00000     0.4986000      5.950100      6.863197      1.073996      1.071078     0.9972828      1.003200    
  10.58900      4.240000      21.00000     0.5006000      5.964100      6.830432      1.075201      1.072120     0.9971341      1.003200    
  10.58900      4.250000      21.00000     0.5026000      5.978200      6.797566      1.076435      1.073274     0.9970641      1.003200    
  10.58900      4.260000      21.00000     0.5045000      5.992300      6.764700      1.077643      1.074363     0.9969568      1.003300    
  10.58900      4.270000      21.00000     0.5065000      6.006300      6.731936      1.078876      1.075384     0.9967638      1.003300    
  10.58900      4.280000      21.00000     0.5085000      6.020400      6.699069      1.080135      1.076424     0.9965650      1.003300    
  10.58900      4.290000      21.00000     0.5105000      6.034500      6.666205      1.081367      1.077484     0.9964089      1.003300    
  10.58900      4.300000      21.00000     0.5125000      6.048500      6.633439      1.082573      1.078571     0.9963033      1.003400    
  10.58900      4.310000      21.00000     0.5145000      6.062600      6.600574      1.083803      1.079577     0.9961008      1.003400    
  10.58900      4.320000      21.00000     0.5165000      6.076700      6.567708      1.085001      1.080610     0.9959529      1.003400    
  10.58900      4.330000      21.00000     0.5186000      6.090700      6.534943      1.086229      1.081662     0.9957958      1.003400    
  10.58900      4.340000      21.00000     0.5206000      6.104800      6.502077      1.087422      1.082734     0.9956886      1.003400    
  10.58900      4.350000      21.00000     0.5226000      6.118900      6.469213      1.088645      1.083727     0.9954823      1.003500    
  10.58900      4.360000      21.00000     0.5247000      6.132900      6.436446      1.089828      1.084839     0.9954222      1.003500    
  10.58900      4.370000      21.00000     0.5267000      6.147000      6.403582      1.090983      1.085903     0.9953441      1.003500    
  10.58900      4.380000      21.00000     0.5288000      6.161100      6.370715      1.092349      1.086885     0.9949980      1.003500    
  10.58900      4.390000      21.00000     0.5308000      6.175100      6.337951      1.093492      1.088011     0.9949881      1.003600    
  10.58900      4.400000      21.00000     0.5329000      6.189200      6.305084      1.094659      1.088983     0.9948147      1.003600    
  10.58900      4.410000      21.00000     0.5350000      6.203300      6.272220      1.095851      1.089972     0.9946347      1.003600    
  10.58900      4.420000      21.00000     0.5371000      6.217300      6.239453      1.097069      1.090978     0.9944476      1.003600    
  10.58900      4.430000      21.00000     0.5392000      6.231400      6.206589      1.098246      1.092046     0.9943554      1.003600    
  10.58900      4.440000      21.00000     0.5412000      6.245500      6.173723      1.099447      1.093079     0.9942077      1.003700    
  10.58900      4.450000      21.00000     0.5434000      6.259500      6.140958      1.100676      1.094107     0.9940318      1.003700    
  10.58900      4.460000      21.00000     0.5455000      6.273600      6.108092      1.101860      1.095140     0.9939019      1.003700    
  10.58900      4.470000      21.00000     0.5476000      6.287700      6.075227      1.103070      1.096193     0.9937657      1.003700    
  10.58900      4.480000      21.00000     0.5497000      6.301700      6.042461      1.104232      1.097240     0.9936679      1.003700    
  10.58900      4.490000      21.00000     0.5518000      6.315800      6.009596      1.105421      1.098293     0.9935523      1.003800    
  10.58900      4.500000      21.00000     0.5540000      6.329900      5.976731      1.106635      1.099319     0.9933887      1.003800    
  10.58900      4.510000      21.00000     0.5561000      6.343900      5.943964      1.107723      1.100327     0.9933236      1.003800    
  10.58900      4.520000      21.00000     0.5583000      6.358000      5.911100      1.108912      1.101316     0.9931505      1.003800    
  10.58900      4.530000      21.00000     0.5604000      6.372100      5.878233      1.110040      1.102323     0.9930483      1.003900    
  10.58900      4.540000      21.00000     0.5626000      6.386100      5.845469      1.111273      1.103308     0.9928325      1.003900    
  10.58900      4.550000      21.00000     0.5648000      6.400200      5.812603      1.112370      1.104310     0.9927537      1.003900    
  10.58900      4.560000      21.00000     0.5669000      6.414200      5.779838      1.113650      1.105285     0.9924890      1.003900    
  10.58900      4.570000      21.00000     0.5691000      6.428300      5.746972      1.114798      1.106262     0.9923428      1.003900    
  10.58900      4.580000      21.00000     0.5713000      6.442400      5.714107      1.115962      1.107279     0.9922194      1.004000    
  10.58900      4.590000      21.00000     0.5735000      6.456400      5.681342      1.117153      1.108312     0.9920862      1.004000    
